No,Knowledge Area,Scenario,Difficulty,Question Type,Source ID,original_text,raw_latex,Adapted Question,Options,Correct Answer,Solution / Key Steps,prompt_direct,cot_reasoning_scaffold,prompt_cot,student_tutor_strategy,tutor_model,tutor_max_turns,,,,,,,,,
1,Probability,Finance,Easy,Calculation,ch_distributions_45_1,"Buying books on Ebay

Suppose you're considering buying your expensive chemistry
textbook on Ebay.
Looking at past auctions suggests that the 
prices of this textbook follow an approximately normal
distribution with mean $89 and standard deviation $15.

What is the probability that a randomly selected auction for this book 
closes at more than $100?","\qt{Buying books on Ebay\label{buy_boooks_ebay}}
Suppose you're considering buying your expensive chemistry
textbook on Ebay.
Looking at past auctions suggests that the 
prices of this textbook follow an approximately normal
distribution with mean \$89 and standard deviation \$15.
\begin{parts}

\item What is the probability that a randomly selected auction for this book 
closes at more than \$100?

\item Ebay allows you to set your maximum bid price so that if someone 
outbids you on an auction you can automatically outbid them, up to the 
maximum bid price you set. If you are only bidding on one auction, what are 
the advantages and disadvantages of setting a bid price too high or too low? 
What if you are bidding on multiple auctions?

\item If you watched 10 auctions, roughly what percentile might you use for a 
maximum bid cutoff to be somewhat sure that you will win one of these ten 
auctions? Is it possible to find a cutoff point that will ensure that you win 
an auction?

\item If you are willing to track up to ten auctions closely, about what 
price might you use as your maximum bid price if you want to be somewhat sure 
that you will buy one of these ten books?

\end{parts}",A finance app says the monthly utility bill amount is approximately normally distributed with mean £72 and standard deviation £10. What is the probability that a randomly selected amount is above £85? Round to four decimals.,,0.0968,"Compute z=(85-72)/10=1.30. Using the supplied Z-table, Phi(1.30)=0.9032. Therefore, P(X>85)=1-0.9032=0.0968.",A finance app says the monthly utility bill amount is approximately normally distributed with mean £72 and standard deviation £10. What is the probability that a randomly selected amount is above £85? Round to four decimals.,"1. Identify the normal-distribution parameters and the target event.
2. Standardize the target value using a z-score, rounded to two decimal places.
3. Translate the original event into the corresponding standard-normal tail probability.
4. Evaluate the probability and round as requested.
5. State the result in the context of the question.","A finance app says the monthly utility bill amount is approximately normally distributed with mean £72 and standard deviation £10. What is the probability that a randomly selected amount is above £85? Round to four decimals.

Follow the reasoning stages below:

1. Identify the normal-distribution parameters and the target event.
2. Standardize the target value using a z-score, rounded to two decimal places.
3. Translate the original event into the corresponding standard-normal tail probability.
4. Evaluate the probability and round as requested.
5. State the result in the context of the question.

Show all necessary calculations and then provide the final answer.",Adaptive Multi-Agent Student–Tutor,qwen-plus,3,,,,,,,,,
2,Probability,Finance,Easy,Calculation,ch_distributions_45_1,"Buying books on Ebay

Suppose you're considering buying your expensive chemistry
textbook on Ebay.
Looking at past auctions suggests that the 
prices of this textbook follow an approximately normal
distribution with mean $89 and standard deviation $15.

What is the probability that a randomly selected auction for this book 
closes at more than $100?","\qt{Buying books on Ebay\label{buy_boooks_ebay}}
Suppose you're considering buying your expensive chemistry
textbook on Ebay.
Looking at past auctions suggests that the 
prices of this textbook follow an approximately normal
distribution with mean \$89 and standard deviation \$15.
\begin{parts}

\item What is the probability that a randomly selected auction for this book 
closes at more than \$100?

\item Ebay allows you to set your maximum bid price so that if someone 
outbids you on an auction you can automatically outbid them, up to the 
maximum bid price you set. If you are only bidding on one auction, what are 
the advantages and disadvantages of setting a bid price too high or too low? 
What if you are bidding on multiple auctions?

\item If you watched 10 auctions, roughly what percentile might you use for a 
maximum bid cutoff to be somewhat sure that you will win one of these ten 
auctions? Is it possible to find a cutoff point that will ensure that you win 
an auction?

\item If you are willing to track up to ten auctions closely, about what 
price might you use as your maximum bid price if you want to be somewhat sure 
that you will buy one of these ten books?

\end{parts}",A finance app says the online subscription refund amount is approximately normally distributed with mean £120 and standard deviation £18. What is the probability that a randomly selected amount is below £100? Round to four decimals.,,0.1335,"Compute z=(100-120)/18=-1.1111, then round to z=-1.11 for table lookup. Using symmetry and the supplied Z-table, Phi(-1.11)=1-Phi(1.11)=1-0.8665=0.1335. Therefore, P(X<100)=0.1335.",A finance app says the online subscription refund amount is approximately normally distributed with mean £120 and standard deviation £18. What is the probability that a randomly selected amount is below £100? Round to four decimals.,"1. Identify the normal-distribution parameters and the target event.
2. Standardize the target value using a z-score, rounded to two decimal places.
3. Translate the original event into the corresponding standard-normal tail probability.
4. Evaluate the probability and round as requested.
5. State the result in the context of the question.","A finance app says the online subscription refund amount is approximately normally distributed with mean £120 and standard deviation £18. What is the probability that a randomly selected amount is below £100? Round to four decimals.

Follow the reasoning stages below:

1. Identify the normal-distribution parameters and the target event.
2. Standardize the target value using a z-score, rounded to two decimal places.
3. Translate the original event into the corresponding standard-normal tail probability.
4. Evaluate the probability and round as requested.
5. State the result in the context of the question.

Show all necessary calculations and then provide the final answer.",Adaptive Multi-Agent Student–Tutor,qwen-plus,3,,,,,,,,,
3,Probability,Finance,Easy,Calculation,ch_distributions_45_1,"Buying books on Ebay

Suppose you're considering buying your expensive chemistry
textbook on Ebay.
Looking at past auctions suggests that the 
prices of this textbook follow an approximately normal
distribution with mean $89 and standard deviation $15.

What is the probability that a randomly selected auction for this book 
closes at more than $100?","\qt{Buying books on Ebay\label{buy_boooks_ebay}}
Suppose you're considering buying your expensive chemistry
textbook on Ebay.
Looking at past auctions suggests that the 
prices of this textbook follow an approximately normal
distribution with mean \$89 and standard deviation \$15.
\begin{parts}

\item What is the probability that a randomly selected auction for this book 
closes at more than \$100?

\item Ebay allows you to set your maximum bid price so that if someone 
outbids you on an auction you can automatically outbid them, up to the 
maximum bid price you set. If you are only bidding on one auction, what are 
the advantages and disadvantages of setting a bid price too high or too low? 
What if you are bidding on multiple auctions?

\item If you watched 10 auctions, roughly what percentile might you use for a 
maximum bid cutoff to be somewhat sure that you will win one of these ten 
auctions? Is it possible to find a cutoff point that will ensure that you win 
an auction?

\item If you are willing to track up to ten auctions closely, about what 
price might you use as your maximum bid price if you want to be somewhat sure 
that you will buy one of these ten books?

\end{parts}",A finance app says the coffee futures fee amount is approximately normally distributed with mean £45 and standard deviation £6. What is the probability that a randomly selected amount is above £55? Round to four decimals.,,0.0475,"Compute z=(55-45)/6=1.6667, then round to z=1.67 for table lookup. From the supplied Z-table, Phi(1.67)=0.9525. Therefore, P(X>55)=1-0.9525=0.0475.",A finance app says the coffee futures fee amount is approximately normally distributed with mean £45 and standard deviation £6. What is the probability that a randomly selected amount is above £55? Round to four decimals.,"1. Identify the normal-distribution parameters and the target event.
2. Standardize the target value using a z-score, rounded to two decimal places.
3. Translate the original event into the corresponding standard-normal tail probability.
4. Evaluate the probability and round as requested.
5. State the result in the context of the question.","A finance app says the coffee futures fee amount is approximately normally distributed with mean £45 and standard deviation £6. What is the probability that a randomly selected amount is above £55? Round to four decimals.

Follow the reasoning stages below:

1. Identify the normal-distribution parameters and the target event.
2. Standardize the target value using a z-score, rounded to two decimal places.
3. Translate the original event into the corresponding standard-normal tail probability.
4. Evaluate the probability and round as requested.
5. State the result in the context of the question.

Show all necessary calculations and then provide the final answer.",Adaptive Multi-Agent Student–Tutor,qwen-plus,3,,,,,,,,,
4,Probability,Finance,Easy,Calculation,ch_distributions_45_1,"Buying books on Ebay

Suppose you're considering buying your expensive chemistry
textbook on Ebay.
Looking at past auctions suggests that the 
prices of this textbook follow an approximately normal
distribution with mean $89 and standard deviation $15.

What is the probability that a randomly selected auction for this book 
closes at more than $100?","\qt{Buying books on Ebay\label{buy_boooks_ebay}}
Suppose you're considering buying your expensive chemistry
textbook on Ebay.
Looking at past auctions suggests that the 
prices of this textbook follow an approximately normal
distribution with mean \$89 and standard deviation \$15.
\begin{parts}

\item What is the probability that a randomly selected auction for this book 
closes at more than \$100?

\item Ebay allows you to set your maximum bid price so that if someone 
outbids you on an auction you can automatically outbid them, up to the 
maximum bid price you set. If you are only bidding on one auction, what are 
the advantages and disadvantages of setting a bid price too high or too low? 
What if you are bidding on multiple auctions?

\item If you watched 10 auctions, roughly what percentile might you use for a 
maximum bid cutoff to be somewhat sure that you will win one of these ten 
auctions? Is it possible to find a cutoff point that will ensure that you win 
an auction?

\item If you are willing to track up to ten auctions closely, about what 
price might you use as your maximum bid price if you want to be somewhat sure 
that you will buy one of these ten books?

\end{parts}",A finance app says the travel insurance claim amount is approximately normally distributed with mean £230 and standard deviation £25. What is the probability that a randomly selected amount is below £200? Round to four decimals.,,0.1151,"Compute z=(200-230)/25=-1.20. Using symmetry and the supplied Z-table, Phi(-1.20)=1-Phi(1.20)=1-0.8849=0.1151. Therefore, P(X<200)=0.1151.",A finance app says the travel insurance claim amount is approximately normally distributed with mean £230 and standard deviation £25. What is the probability that a randomly selected amount is below £200? Round to four decimals.,"1. Identify the normal-distribution parameters and the target event.
2. Standardize the target value using a z-score, rounded to two decimal places.
3. Translate the original event into the corresponding standard-normal tail probability.
4. Evaluate the probability and round as requested.
5. State the result in the context of the question.","A finance app says the travel insurance claim amount is approximately normally distributed with mean £230 and standard deviation £25. What is the probability that a randomly selected amount is below £200? Round to four decimals.

Follow the reasoning stages below:

1. Identify the normal-distribution parameters and the target event.
2. Standardize the target value using a z-score, rounded to two decimal places.
3. Translate the original event into the corresponding standard-normal tail probability.
4. Evaluate the probability and round as requested.
5. State the result in the context of the question.

Show all necessary calculations and then provide the final answer.",Adaptive Multi-Agent Student–Tutor,qwen-plus,3,,,,,,,,,
5,Probability,Finance,Easy,Calculation,ch_distributions_45_1,"Buying books on Ebay

Suppose you're considering buying your expensive chemistry
textbook on Ebay.
Looking at past auctions suggests that the 
prices of this textbook follow an approximately normal
distribution with mean $89 and standard deviation $15.

What is the probability that a randomly selected auction for this book 
closes at more than $100?","\qt{Buying books on Ebay\label{buy_boooks_ebay}}
Suppose you're considering buying your expensive chemistry
textbook on Ebay.
Looking at past auctions suggests that the 
prices of this textbook follow an approximately normal
distribution with mean \$89 and standard deviation \$15.
\begin{parts}

\item What is the probability that a randomly selected auction for this book 
closes at more than \$100?

\item Ebay allows you to set your maximum bid price so that if someone 
outbids you on an auction you can automatically outbid them, up to the 
maximum bid price you set. If you are only bidding on one auction, what are 
the advantages and disadvantages of setting a bid price too high or too low? 
What if you are bidding on multiple auctions?

\item If you watched 10 auctions, roughly what percentile might you use for a 
maximum bid cutoff to be somewhat sure that you will win one of these ten 
auctions? Is it possible to find a cutoff point that will ensure that you win 
an auction?

\item If you are willing to track up to ten auctions closely, about what 
price might you use as your maximum bid price if you want to be somewhat sure 
that you will buy one of these ten books?

\end{parts}",A finance app says the used laptop resale price amount is approximately normally distributed with mean £310 and standard deviation £40. What is the probability that a randomly selected amount is above £360? Round to four decimals.,,0.1056,"Compute z=(360-310)/40=1.25. From the supplied Z-table, Phi(1.25)=0.8944. Therefore, P(X>360)=1-0.8944=0.1056.",A finance app says the used laptop resale price amount is approximately normally distributed with mean £310 and standard deviation £40. What is the probability that a randomly selected amount is above £360? Round to four decimals.,"1. Identify the normal-distribution parameters and the target event.
2. Standardize the target value using a z-score, rounded to two decimal places.
3. Translate the original event into the corresponding standard-normal tail probability.
4. Evaluate the probability and round as requested.
5. State the result in the context of the question.","A finance app says the used laptop resale price amount is approximately normally distributed with mean £310 and standard deviation £40. What is the probability that a randomly selected amount is above £360? Round to four decimals.

Follow the reasoning stages below:

1. Identify the normal-distribution parameters and the target event.
2. Standardize the target value using a z-score, rounded to two decimal places.
3. Translate the original event into the corresponding standard-normal tail probability.
4. Evaluate the probability and round as requested.
5. State the result in the context of the question.

Show all necessary calculations and then provide the final answer.",Adaptive Multi-Agent Student–Tutor,qwen-plus,3,,,,,,,,,
6,Probability,Finance,Medium,Single Choice,ch_distributions_45_1,"Buying books on Ebay

Suppose you're considering buying your expensive chemistry
textbook on Ebay.
Looking at past auctions suggests that the 
prices of this textbook follow an approximately normal
distribution with mean $89 and standard deviation $15.

What is the probability that a randomly selected auction for this book 
closes at more than $100?","\qt{Buying books on Ebay\label{buy_boooks_ebay}}
Suppose you're considering buying your expensive chemistry
textbook on Ebay.
Looking at past auctions suggests that the 
prices of this textbook follow an approximately normal
distribution with mean \$89 and standard deviation \$15.
\begin{parts}

\item What is the probability that a randomly selected auction for this book 
closes at more than \$100?

\item Ebay allows you to set your maximum bid price so that if someone 
outbids you on an auction you can automatically outbid them, up to the 
maximum bid price you set. If you are only bidding on one auction, what are 
the advantages and disadvantages of setting a bid price too high or too low? 
What if you are bidding on multiple auctions?

\item If you watched 10 auctions, roughly what percentile might you use for a 
maximum bid cutoff to be somewhat sure that you will win one of these ten 
auctions? Is it possible to find a cutoff point that will ensure that you win 
an auction?

\item If you are willing to track up to ten auctions closely, about what 
price might you use as your maximum bid price if you want to be somewhat sure 
that you will buy one of these ten books?

\end{parts}","The price of a finance textbook on an auction site is approximately N(105, 12²). Given that a listed copy costs more than £105, what is the probability that it costs more than £120?","A. 0.2112
B. 0.8944
C. 0.1056
D. 0.2417",A. 0.2112,"Since X>120 implies X>105, P(X>120 | X>105)=P(X>120)/P(X>105). For 120, z=(120-105)/12=1.25, so the supplied Z-table gives P(X>120)=1-0.8944=0.1056. Also, P(X>105)=0.5000. Therefore, 0.1056/0.5000=0.2112.","The price of a finance textbook on an auction site is approximately N(105, 12²). Given that a listed copy costs more than £105, what is the probability that it costs more than £120?

Options:
A. 0.2112
B. 0.8944
C. 0.1056
D. 0.2417","1. Identify the conditioning event and the event whose conditional probability is required.
2. Express the question using conditional-probability notation.
3. Determine which normal probabilities are needed and compute the corresponding z-scores, rounded to two decimal places.
4. Evaluate the required normal probabilities and combine them using the conditional-probability formula.
5. Interpret the resulting conditional probability.","The price of a finance textbook on an auction site is approximately N(105, 12²). Given that a listed copy costs more than £105, what is the probability that it costs more than £120?

Options:
A. 0.2112
B. 0.8944
C. 0.1056
D. 0.2417

Follow the reasoning stages below:

1. Identify the conditioning event and the event whose conditional probability is required.
2. Express the question using conditional-probability notation.
3. Determine which normal probabilities are needed and compute the corresponding z-scores, rounded to two decimal places.
4. Evaluate the required normal probabilities and combine them using the conditional-probability formula.
5. Interpret the resulting conditional probability.

Show all necessary calculations and then provide the final answer.",Adaptive Multi-Agent Student–Tutor,qwen-plus,3,,,,,,,,,
7,Probability,Finance,Medium,Single Choice,ch_distributions_45_1,"Buying books on Ebay

Suppose you're considering buying your expensive chemistry
textbook on Ebay.
Looking at past auctions suggests that the 
prices of this textbook follow an approximately normal
distribution with mean $89 and standard deviation $15.

What is the probability that a randomly selected auction for this book 
closes at more than $100?","\qt{Buying books on Ebay\label{buy_boooks_ebay}}
Suppose you're considering buying your expensive chemistry
textbook on Ebay.
Looking at past auctions suggests that the 
prices of this textbook follow an approximately normal
distribution with mean \$89 and standard deviation \$15.
\begin{parts}

\item What is the probability that a randomly selected auction for this book 
closes at more than \$100?

\item Ebay allows you to set your maximum bid price so that if someone 
outbids you on an auction you can automatically outbid them, up to the 
maximum bid price you set. If you are only bidding on one auction, what are 
the advantages and disadvantages of setting a bid price too high or too low? 
What if you are bidding on multiple auctions?

\item If you watched 10 auctions, roughly what percentile might you use for a 
maximum bid cutoff to be somewhat sure that you will win one of these ten 
auctions? Is it possible to find a cutoff point that will ensure that you win 
an auction?

\item If you are willing to track up to ten auctions closely, about what 
price might you use as your maximum bid price if you want to be somewhat sure 
that you will buy one of these ten books?

\end{parts}","The price of a finance textbook on an auction site is approximately N(60, 8²). Given that a listed copy costs more than £60, what is the probability that it costs more than £66?","A. 0.4532
B. 0.2266
C. 0.7734
D. 0.4013",A. 0.4532,"Since X>66 implies X>60, P(X>66 | X>60)=P(X>66)/P(X>60). For 66, z=(66-60)/8=0.75, so the supplied Z-table gives P(X>66)=1-0.7734=0.2266. Also, P(X>60)=0.5000. Therefore, 0.2266/0.5000=0.4532.","The price of a finance textbook on an auction site is approximately N(60, 8²). Given that a listed copy costs more than £60, what is the probability that it costs more than £66?

Options:
A. 0.4532
B. 0.2266
C. 0.7734
D. 0.4013","1. Identify the conditioning event and the event whose conditional probability is required.
2. Express the question using conditional-probability notation.
3. Determine which normal probabilities are needed and compute the corresponding z-scores, rounded to two decimal places.
4. Evaluate the required normal probabilities and combine them using the conditional-probability formula.
5. Interpret the resulting conditional probability.","The price of a finance textbook on an auction site is approximately N(60, 8²). Given that a listed copy costs more than £60, what is the probability that it costs more than £66?

Options:
A. 0.4532
B. 0.2266
C. 0.7734
D. 0.4013

Follow the reasoning stages below:

1. Identify the conditioning event and the event whose conditional probability is required.
2. Express the question using conditional-probability notation.
3. Determine which normal probabilities are needed and compute the corresponding z-scores, rounded to two decimal places.
4. Evaluate the required normal probabilities and combine them using the conditional-probability formula.
5. Interpret the resulting conditional probability.

Show all necessary calculations and then provide the final answer.",Adaptive Multi-Agent Student–Tutor,qwen-plus,3,,,,,,,,,
8,Probability,Finance,Medium,Single Choice,ch_distributions_45_1,"Buying books on Ebay

Suppose you're considering buying your expensive chemistry
textbook on Ebay.
Looking at past auctions suggests that the 
prices of this textbook follow an approximately normal
distribution with mean $89 and standard deviation $15.

What is the probability that a randomly selected auction for this book 
closes at more than $100?","\qt{Buying books on Ebay\label{buy_boooks_ebay}}
Suppose you're considering buying your expensive chemistry
textbook on Ebay.
Looking at past auctions suggests that the 
prices of this textbook follow an approximately normal
distribution with mean \$89 and standard deviation \$15.
\begin{parts}

\item What is the probability that a randomly selected auction for this book 
closes at more than \$100?

\item Ebay allows you to set your maximum bid price so that if someone 
outbids you on an auction you can automatically outbid them, up to the 
maximum bid price you set. If you are only bidding on one auction, what are 
the advantages and disadvantages of setting a bid price too high or too low? 
What if you are bidding on multiple auctions?

\item If you watched 10 auctions, roughly what percentile might you use for a 
maximum bid cutoff to be somewhat sure that you will win one of these ten 
auctions? Is it possible to find a cutoff point that will ensure that you win 
an auction?

\item If you are willing to track up to ten auctions closely, about what 
price might you use as your maximum bid price if you want to be somewhat sure 
that you will buy one of these ten books?

\end{parts}","The price of a finance textbook on an auction site is approximately N(250, 30²). Given that a listed copy costs more than £250, what is the probability that it costs more than £280?","A. 0.3174
B. 0.1587
C. 0.3015
D. 0.8413",A. 0.3174,"Since X>280 implies X>250, P(X>280 | X>250)=P(X>280)/P(X>250). For 280, z=(280-250)/30=1.00, so the supplied Z-table gives P(X>280)=1-0.8413=0.1587. Also, P(X>250)=0.5000. Therefore, 0.1587/0.5000=0.3174.","The price of a finance textbook on an auction site is approximately N(250, 30²). Given that a listed copy costs more than £250, what is the probability that it costs more than £280?

Options:
A. 0.3174
B. 0.1587
C. 0.3015
D. 0.8413","1. Identify the conditioning event and the event whose conditional probability is required.
2. Express the question using conditional-probability notation.
3. Determine which normal probabilities are needed and compute the corresponding z-scores, rounded to two decimal places.
4. Evaluate the required normal probabilities and combine them using the conditional-probability formula.
5. Interpret the resulting conditional probability.","The price of a finance textbook on an auction site is approximately N(250, 30²). Given that a listed copy costs more than £250, what is the probability that it costs more than £280?

Options:
A. 0.3174
B. 0.1587
C. 0.3015
D. 0.8413

Follow the reasoning stages below:

1. Identify the conditioning event and the event whose conditional probability is required.
2. Express the question using conditional-probability notation.
3. Determine which normal probabilities are needed and compute the corresponding z-scores, rounded to two decimal places.
4. Evaluate the required normal probabilities and combine them using the conditional-probability formula.
5. Interpret the resulting conditional probability.

Show all necessary calculations and then provide the final answer.",Adaptive Multi-Agent Student–Tutor,qwen-plus,3,,,,,,,,,
9,Probability,Finance,Hard,Short Answer,ch_distributions_35,"Roulette winnings

In the game of roulette, a 
wheel is spun and you place bets on where it will stop. One popular bet is 
that it will stop on a red slot; such a bet has an 18/38 chance of winning. 
If it stops on red, you double the money you bet. If not, you lose the money 
you bet. Suppose you play 3 times, each time with a $1 bet. Let Y represent 
the total amount won or lost. Write a probability model for Y.","\qt{Roulette winnings\label{roulette_winnings}} In the game of roulette, a 
wheel is spun and you place bets on where it will stop. One popular bet is 
that it will stop on a red slot; such a bet has an 18/38 chance of winning. 
If it stops on red, you double the money you bet. If not, you lose the money 
you bet. Suppose you play 3 times, each time with a \$1 bet. Let Y represent 
the total amount won or lost. Write a probability model for Y.","An investor pays £10 to enter a one-round trading game. With probability 0.04, she wins £160; with probability 0.16, she wins £20; otherwise she wins nothing. Calculate the expected net gain and explain whether the game is favourable.",,Expected net gain = -£0.40; not favourable,"Expected payout = 0.04×160 + 0.16×20 + 0.80×0 = £9.60. Net gain = 9.60 - 10 = -£0.40, so the game is unfavourable on average.","An investor pays £10 to enter a one-round trading game. With probability 0.04, she wins £160; with probability 0.16, she wins £20; otherwise she wins nothing. Calculate the expected net gain and explain whether the game is favourable.

","1. List each possible monetary outcome and its probability.
2. Convert each prize into net gain or loss after accounting for the entry cost.
3. Compute the expected net gain by weighting each net outcome by its probability.
4. Determine whether the expected net gain is positive, zero, or negative.
5. Use the sign of the expectation to explain whether the game is favourable.","An investor pays £10 to enter a one-round trading game. With probability 0.04, she wins £160; with probability 0.16, she wins £20; otherwise she wins nothing. Calculate the expected net gain and explain whether the game is favourable.

Follow the reasoning stages below:

1. List each possible monetary outcome and its probability.
2. Convert each prize into net gain or loss after accounting for the entry cost.
3. Compute the expected net gain by weighting each net outcome by its probability.
4. Determine whether the expected net gain is positive, zero, or negative.
5. Use the sign of the expectation to explain whether the game is favourable.

Show all necessary calculations and then provide the final answer.",Adaptive Multi-Agent Student–Tutor,qwen-plus,3,,,,,,,,,
10,Probability,Finance,Hard,Short Answer,ch_distributions_45_1,"Buying books on Ebay

Suppose you're considering buying your expensive chemistry
textbook on Ebay.
Looking at past auctions suggests that the 
prices of this textbook follow an approximately normal
distribution with mean $89 and standard deviation $15.

What is the probability that a randomly selected auction for this book 
closes at more than $100?","\qt{Buying books on Ebay\label{buy_boooks_ebay}}
Suppose you're considering buying your expensive chemistry
textbook on Ebay.
Looking at past auctions suggests that the 
prices of this textbook follow an approximately normal
distribution with mean \$89 and standard deviation \$15.
\begin{parts}

\item What is the probability that a randomly selected auction for this book 
closes at more than \$100?

\item Ebay allows you to set your maximum bid price so that if someone 
outbids you on an auction you can automatically outbid them, up to the 
maximum bid price you set. If you are only bidding on one auction, what are 
the advantages and disadvantages of setting a bid price too high or too low? 
What if you are bidding on multiple auctions?

\item If you watched 10 auctions, roughly what percentile might you use for a 
maximum bid cutoff to be somewhat sure that you will win one of these ten 
auctions? Is it possible to find a cutoff point that will ensure that you win 
an auction?

\item If you are willing to track up to ten auctions closely, about what 
price might you use as your maximum bid price if you want to be somewhat sure 
that you will buy one of these ten books?

\end{parts}",A portfolio's daily return is approximately normal with mean 0.08% and standard deviation 1.2%. Find the probability that in 10 independent trading days there are at least two days with a return below -2%. State the modelling assumption.,,"About 0.0629, assuming independent days","For one day, z=(-2-0.08)/1.2=-1.7333, then round to z=-1.73 for table lookup. Using the supplied Z-table, p=P(Z<-1.73)=1-Phi(1.73)=1-0.9582=0.0418. Let Y~Binomial(10,0.0418). Then P(Y>=2)=1-(1-p)^10-10p(1-p)^9≈0.0629. Assumption: daily returns are independent and identically distributed according to the stated normal model.","A portfolio's daily return is approximately normal with mean 0.08% and standard deviation 1.2%. Find the probability that in 10 independent trading days there are at least two days with a return below -2%. State the modelling assumption.

","1. Use the normal model to find the probability that one trading day has a return below the stated threshold; standardize the threshold with a z-score rounded to two decimal places.
2. Treat this one-day probability as the event probability for each trading day.
3. Under the stated independence assumption, define the number of such days in 10 days using an appropriate discrete probability model.
4. Express “at least two” using a convenient complement and calculate the probability.
5. State the probability and the modelling assumption used.","A portfolio's daily return is approximately normal with mean 0.08% and standard deviation 1.2%. Find the probability that in 10 independent trading days there are at least two days with a return below -2%. State the modelling assumption.

Follow the reasoning stages below:

1. Use the normal model to find the probability that one trading day has a return below the stated threshold; standardize the threshold with a z-score rounded to two decimal places.
2. Treat this one-day probability as the event probability for each trading day.
3. Under the stated independence assumption, define the number of such days in 10 days using an appropriate discrete probability model.
4. Express “at least two” using a convenient complement and calculate the probability.
5. State the probability and the modelling assumption used.

Show all necessary calculations and then provide the final answer.",Adaptive Multi-Agent Student–Tutor,qwen-plus,3,,,,,,,,,
