No,Knowledge Area,Scenario,Difficulty,Question Type,Source ID,original_text,raw_latex,Adapted Question,Options,Correct Answer,Solution / Key Steps,prompt_direct,cot_reasoning_scaffold,prompt_cot,student_tutor_strategy,tutor_model,tutor_max_turns
1,Distribution,Education,Easy,Calculation,ch_summarizing_data_33,"Stats scores

Below are the final exam scores of twenty 
introductory statistics students.

57, 66, 69, 71, 72, 73, 74, 77, 78, 78, 79, 79, 81, 81, 82, 83, 83, 88, 89, 94

Create a box plot of the distribution of these scores. The five number summary provided below may be useful.

1.5

Table:
| Min | Q1 | Q2 (Median) | Q3 | Max |
| --- | --- | --- | --- | --- |
| 57 | 72.5 | 78.5 | 82.5 | 94 |","\qt{Stats scores\label{stats_scores_box}} Below are the final exam scores of twenty 
introductory statistics students.
\begin{center}
57, 66, 69, 71, 72, 73, 74, 77, 78, 78, 79, 79, 81, 81, 82, 83, 83, 88, 89, 94
\end{center}
Create a box plot of the distribution of these scores. The five number summary provided below may be useful.
\begin{center}
\renewcommand\arraystretch{1.5}
\begin{tabular}{ccccc}
Min & Q1    & Q2 (Median)   & Q3    & Max \\
\hline
57  & 72.5  & 78.5          & 82.5  & 94 \\
\end{tabular}
\end{center}","A lecturer records the following quiz scores for 12 students: 62, 68, 71, 74, 76, 78, 80, 81, 83, 84, 86, 88. Find the median score.",,79,"There are 12 values, so the median is the average of the 6th and 7th values: (78+80)/2=79.0.","A lecturer records the following quiz scores for 12 students: 62, 68, 71, 74, 76, 78, 80, 81, 83, 84, 86, 88. Find the median score.","1. Recognize that the data are already ordered and count the observations.
2. Because the number of observations is even, identify the two middle positions.
3. Average the two middle scores.
4. Report the median in the context of the quiz scores.","A lecturer records the following quiz scores for 12 students: 62, 68, 71, 74, 76, 78, 80, 81, 83, 84, 86, 88. Find the median score.

Follow the reasoning stages below:

1. Recognize that the data are already ordered and count the observations.
2. Because the number of observations is even, identify the two middle positions.
3. Average the two middle scores.
4. Report the median in the context of the quiz scores.

Show the reasoning or calculations necessary for this specific question, then provide the final answer.",Adaptive Multi-Agent Student–Tutor,Qwen3-32B-Instruct,3
2,Distribution,Education,Easy,Calculation,ch_summarizing_data_33,"Stats scores

Below are the final exam scores of twenty 
introductory statistics students.

57, 66, 69, 71, 72, 73, 74, 77, 78, 78, 79, 79, 81, 81, 82, 83, 83, 88, 89, 94

Create a box plot of the distribution of these scores. The five number summary provided below may be useful.

1.5

Table:
| Min | Q1 | Q2 (Median) | Q3 | Max |
| --- | --- | --- | --- | --- |
| 57 | 72.5 | 78.5 | 82.5 | 94 |","\qt{Stats scores\label{stats_scores_box}} Below are the final exam scores of twenty 
introductory statistics students.
\begin{center}
57, 66, 69, 71, 72, 73, 74, 77, 78, 78, 79, 79, 81, 81, 82, 83, 83, 88, 89, 94
\end{center}
Create a box plot of the distribution of these scores. The five number summary provided below may be useful.
\begin{center}
\renewcommand\arraystretch{1.5}
\begin{tabular}{ccccc}
Min & Q1    & Q2 (Median)   & Q3    & Max \\
\hline
57  & 72.5  & 78.5          & 82.5  & 94 \\
\end{tabular}
\end{center}","The same class has scores 62, 68, 71, 74, 76, 78, 80, 81, 83, 84, 86, 88. Find the range of the scores.",,26,Range = maximum - minimum = 88 - 62 = 26.,"The same class has scores 62, 68, 71, 74, 76, 78, 80, 81, 83, 84, 86, 88. Find the range of the scores.","1. Identify the minimum and maximum scores.
2. Use range = maximum - minimum.
3. Carry out the subtraction.
4. Report the range in score points.","The same class has scores 62, 68, 71, 74, 76, 78, 80, 81, 83, 84, 86, 88. Find the range of the scores.

Follow the reasoning stages below:

1. Identify the minimum and maximum scores.
2. Use range = maximum - minimum.
3. Carry out the subtraction.
4. Report the range in score points.

Show the reasoning or calculations necessary for this specific question, then provide the final answer.",Adaptive Multi-Agent Student–Tutor,Qwen3-32B-Instruct,3
3,Distribution,Education,Easy,Calculation,ch_summarizing_data_29,"TV watchers

Students in an AP Statistics class 
were asked how many hours of television they watch per week (including online 
streaming). This sample yielded an average of 4.71 hours, with a standard 
deviation of 4.18 hours. Is the distribution of number of hours students watch 
television weekly symmetric? If not, what shape would you expect this distribution 
to have? Explain your reasoning.","\qt{TV watchers\label{dist_shape_TV_watchers}} Students in an AP Statistics class 
were asked how many hours of television they watch per week (including online 
streaming). This sample yielded an average of 4.71 hours, with a standard 
deviation of 4.18 hours. Is the distribution of number of hours students watch 
television weekly symmetric? If not, what shape would you expect this distribution 
to have? Explain your reasoning.","Eight students report watching 3, 5, 6, 8, 8, 10, 12, and 12 hours of online lectures in one week. Find the mean number of hours.",,8.0 hours,Sum the values: 3+5+6+8+8+10+12+12=64. Divide by 8: 64/8=8.0 hours.,"Eight students report watching 3, 5, 6, 8, 8, 10, 12, and 12 hours of online lectures in one week. Find the mean number of hours.","1. Add all eight reported lecture-hour values.
2. Divide the total by the number of students.
3. Check that the result is plausible relative to the listed values.
4. Report the mean with units.","Eight students report watching 3, 5, 6, 8, 8, 10, 12, and 12 hours of online lectures in one week. Find the mean number of hours.

Follow the reasoning stages below:

1. Add all eight reported lecture-hour values.
2. Divide the total by the number of students.
3. Check that the result is plausible relative to the listed values.
4. Report the mean with units.

Show the reasoning or calculations necessary for this specific question, then provide the final answer.",Adaptive Multi-Agent Student–Tutor,Qwen3-32B-Instruct,3
4,Distribution,Transportation,Easy,Calculation,ch_distributions_38_2,"Speeding on the I-5, Part II

Exercise~[ref: speeding_i5_intro] states that the distribution of speeds of 
cars traveling on the Interstate 5 Freeway (I-5) in California is nearly 
normal with a mean of 72.6 miles/hour and a standard deviation of 4.78 
miles/hour. The speed limit on this stretch of the I-5 is 70 miles/hour.

On average, how many cars would the highway patrol officer expect to 
watch until the first car that is speeding? What is the standard deviation of 
the number of cars he would expect to watch?","\qt{Speeding on the I-5, Part II\label{speeding_i5_geometric}} 
Exercise~\ref{speeding_i5_intro} states that the distribution of speeds of 
cars traveling on the Interstate 5 Freeway (I-5) in California is nearly 
normal with a mean of 72.6 miles/hour and a standard deviation of 4.78 
miles/hour. The speed limit on this stretch of the I-5 is 70 miles/hour.
\begin{parts}
\item A highway patrol officer is hidden on the side of the freeway. What is 
the probability that 5~cars pass and none are speeding? Assume that the 
speeds of the cars are independent of each other.
\item On average, how many cars would the highway patrol officer expect to 
watch until the first car that is speeding? What is the standard deviation of 
the number of cars he would expect to watch?
\end{parts}","A speed camera records the following speeds (mph): 54, 58, 61, 63, 65, 66, 68, 70, 74. Calculate the interquartile range using Q1 as the median of the lower four values and Q3 as the median of the upper four values.",,9.5 mph,"Lower half: 54, 58, 61, 63, so Q1=(58+61)/2=59.5. Upper half: 66, 68, 70, 74, so Q3=(68+70)/2=69. IQR=69-59.5=9.5 mph.","A speed camera records the following speeds (mph): 54, 58, 61, 63, 65, 66, 68, 70, 74. Calculate the interquartile range using Q1 as the median of the lower four values and Q3 as the median of the upper four values.","1. Keep the ordered data and exclude the overall median when splitting the nine observations.
2. Find Q1 from the lower four values using the convention stated in the question.
3. Find Q3 from the upper four values using the same convention.
4. Compute IQR = Q3 - Q1 and report it in mph.","A speed camera records the following speeds (mph): 54, 58, 61, 63, 65, 66, 68, 70, 74. Calculate the interquartile range using Q1 as the median of the lower four values and Q3 as the median of the upper four values.

Follow the reasoning stages below:

1. Keep the ordered data and exclude the overall median when splitting the nine observations.
2. Find Q1 from the lower four values using the convention stated in the question.
3. Find Q3 from the upper four values using the same convention.
4. Compute IQR = Q3 - Q1 and report it in mph.

Show the reasoning or calculations necessary for this specific question, then provide the final answer.",Adaptive Multi-Agent Student–Tutor,Qwen3-32B-Instruct,3
5,Distribution,Transportation,Easy,Calculation,ch_inference_for_props_41_1,"Shipping holiday gifts

A 
local news survey asked 500 randomly sampled Los Angeles residents 
which shipping carrier they prefer to use for shipping holiday gifts. 
The table below shows the distribution of responses by age group as 
well as the expected counts for each cell (shown in parentheses).

Table:
| 6c|Age | | | | | | | | |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 18-34 | 35-54 | 55+ | Total | | | | | |
| 5*Shipping Method | USPS | 72 | 81 | 97 | 102 | 76 | 62 | 245 |
| UPS | 52 | 53 | 76 | 68 | 34 | 41 | 162 | |
| FedEx | 31 | 21 | 24 | 27 | 9 | 16 | 64 | |
| Something else | 7 | 5 | 6 | 7 | 3 | 4 | 16 | |
| Not sure | 3 | 5 | 6 | 5 | 4 | 3 | 13 | |
| Total | 165 | 209 | 126 | 500 | | | | |

State the null and alternative hypotheses for testing for independence 
of age and preferred shipping method for holiday gifts among Los Angeles residents.","\qt{Shipping holiday gifts\label{ship_gifts_chisq_indep_conditions}} A 
local news survey asked 500 randomly sampled Los Angeles residents 
which shipping carrier they prefer to use for shipping holiday gifts. 
The table below shows the distribution of responses by age group as 
well as the expected counts for each cell (shown in parentheses).
\begin{center}
\begin{tabular}{l l | c c | c c | c c | c }
		&		& \multicolumn{6}{c|}{\textit{Age}}	&		\\
\cline{3-8}
		&		& \multicolumn{2}{c|}{18-34}		& \multicolumn{2}{c|}{35-54}	& \multicolumn{2}{c|}{55+}	& Total	\\
\cline{2-9}
\multirow{5}{*}{\textit{Shipping Method}}	& USPS		& 72	& \ec{81}	& 97	& \ec{102}	& 76 	& \ec{62}		& 245 \\
		& UPS		& 52	& \ec{53}	& 76	& \ec{68}	& 34	& \ec{41}		& 162 \\
		& FedEx		& 31	& \ec{21}	& 24	& \ec{27}	& 9	& \ec{16}		& 64 \\
		& Something else	& 7 & \ec{5}	& 6	& \ec{7}	& 3	& \ec{4}		& 16 \\
		& Not sure	& 3	& \ec{5}	& 6	& \ec{5}	& 4	& \ec{3}		& 13 \\
\cline{2-9}
		& Total		& \multicolumn{2}{c|}{165}		& \multicolumn{2}{c|}{209}		& \multicolumn{2}{c|}{126}		& 500
\end{tabular}
\end{center} 
\begin{parts}
\item State the null and alternative hypotheses for testing for independence 
of age and preferred shipping method for holiday gifts among Los Angeles residents.
\item Are the conditions for inference using a chi-square test satisfied?
\end{parts}","A delivery company classifies 200 parcels by arrival status: 152 on time, 34 one day late, and 14 more than one day late. What proportion arrived on time?",,0.76,Proportion on time = 152/200 = 0.76.,"A delivery company classifies 200 parcels by arrival status: 152 on time, 34 one day late, and 14 more than one day late. What proportion arrived on time?","1. Identify the number of on-time parcels and the total number of parcels.
2. Compute the sample proportion as count/total.
3. Simplify the result and state what it represents.","A delivery company classifies 200 parcels by arrival status: 152 on time, 34 one day late, and 14 more than one day late. What proportion arrived on time?

Follow the reasoning stages below:

1. Identify the number of on-time parcels and the total number of parcels.
2. Compute the sample proportion as count/total.
3. Simplify the result and state what it represents.

Show the reasoning or calculations necessary for this specific question, then provide the final answer.",Adaptive Multi-Agent Student–Tutor,Qwen3-32B-Instruct,3
6,Distribution,Healthcare,Medium,Calculation,ch_summarizing_data_28_1,"Infant mortality

The infant mortality rate is defined as 
the number of infant deaths per 1,000 live births. This rate is often used as an 
indicator of the level of health in a country. The relative frequency histogram below 
shows the distribution of estimated infant death rates for 224 countries for which such 
data were available in 2014. 
[source: data:ciaFactbook]

0.43
 \
minipage
minipage[c]0.52

0.85eoce/infant_mortality_rel_freqinfant_mortality_rel_freq_hist
minipage

Estimate Q1, the median, and Q3 from the histogram.","\qt{Infant mortality\label{infant_mortality}} The infant mortality rate is defined as 
the number of infant deaths per 1,000 live births. This rate is often used as an 
indicator of the level of health in a country. The relative frequency histogram below 
shows the distribution of estimated infant death rates for 224 countries for which such 
data were available in 2014. 
\footfullcite{data:ciaFactbook}

\noindent\begin{minipage}[c]{0.43\textwidth}
\begin{parts}
\item Estimate Q1, the median, and Q3 from the histogram.
\item Would you expect the mean of this data set to be smaller or larger than the 
median? Explain your reasoning.
\end{parts} \vfill \
\end{minipage}
\begin{minipage}[c]{0.52\textwidth}
\hfill%
\Figures[A histogram is shown for the variable ""Infant Mortality (per 1000 live births)"" with axis range of 0 to 120. The histogram vertical axis is for ""Fraction of Countries"" and runs from 0 to 0.4. The bins are as follows: the 0 to 10 bin has a height of 0.38, 10 to 20 has a height of 0.22, 20 to 30 a height of 0.11, 30 to 40 a height of 0.06, 40 to 50 a height of 0.07, 50 to 60 a height of 0.08, 60 to 70 a height of 0.04, 70 to 80 a height of 0.03, 80 to 90 a height of 0.01, 90 to 100 a height of 0.02, and 100 to 110 a height of 0.01.]{0.85}{eoce/infant_mortality_rel_freq}{infant_mortality_rel_freq_hist}
\end{minipage}","A public-health report gives infant mortality rates per 1,000 live births for six regions: 3.8, 4.1, 4.5, 5.0, 5.4, 6.2. Calculate the mean rate.",,"4.83 deaths per 1,000 live births",Mean = (3.8+4.1+4.5+5.0+5.4+6.2)/6 = 29.0/6 = 4.83.,"A public-health report gives infant mortality rates per 1,000 live births for six regions: 3.8, 4.1, 4.5, 5.0, 5.4, 6.2. Calculate the mean rate.","1. Add the six regional mortality rates.
2. Divide the total by six.
3. Round appropriately and retain the units per 1,000 live births.","A public-health report gives infant mortality rates per 1,000 live births for six regions: 3.8, 4.1, 4.5, 5.0, 5.4, 6.2. Calculate the mean rate.

Follow the reasoning stages below:

1. Add the six regional mortality rates.
2. Divide the total by six.
3. Round appropriately and retain the units per 1,000 live births.

Show the reasoning or calculations necessary for this specific question, then provide the final answer.",Adaptive Multi-Agent Student–Tutor,Qwen3-32B-Instruct,3
7,Distribution,Healthcare,Medium,Calculation,ch_inference_for_means_56,"Age at first marriage, Part I

The National Survey of Family Growth conducted by the Centers for Disease 
Control gathers information on family life, marriage and divorce, pregnancy, 
infertility, use of contraception, and men's and women's health. One of the 
variables collected on this survey is the age at first marriage. The histogram 
below shows the distribution of ages at first marriage of 5,534 randomly sampled 
women between 2006 and 2010. The average age at first marriage among these women 
is 23.44 with a standard deviation of 4.72.[source: data:nsfg:2010]

0.6ch_inference_for_means/figures/eoce/age_at_first_marriage_intro/age_at_first_marriage_intro_hist

Estimate the average age at first marriage of women using a 95% confidence 
interval, and interpret this interval in context. Discuss any relevant 
assumptions.","\qt{Age at first marriage, Part I\label{age_at_first_marriage_intro}} 
The National Survey of Family Growth conducted by the Centers for Disease 
Control gathers information on family life, marriage and divorce, pregnancy, 
infertility, use of contraception, and men's and women's health. One of the 
variables collected on this survey is the age at first marriage. The histogram 
below shows the distribution of ages at first marriage of 5,534 randomly sampled 
women between 2006 and 2010. The average age at first marriage among these women 
is 23.44 with a standard deviation of 4.72.\footfullcite{data:nsfg:2010}
\begin{center}
\FigureFullPath[A histogram is shown for ""Age at first marriage"". The distribution is right-skewed, centered at about 23, has a standard deviation of about 5. The data smoothly tapers off in each direction but do not extend below about 12 or above 45.]{0.6}{ch_inference_for_means/figures/eoce/age_at_first_marriage_intro/age_at_first_marriage_intro_hist}
\end{center}
Estimate the average age at first marriage of women using a 95\% confidence 
interval, and interpret this interval in context. Discuss any relevant 
assumptions.","A clinic survey records ages at first long-term health screening: 22, 24, 25, 27, 28, 30, 31, 34. Calculate the sample standard deviation, rounded to two decimals.",,3.96 years,Mean = 27.625. The sum of squared deviations is 109.875. Sample variance = 109.875/(8-1) = 15.6964. Sample SD = sqrt(15.6964) = 3.96 years (rounded to two decimals).,"A clinic survey records ages at first long-term health screening: 22, 24, 25, 27, 28, 30, 31, 34. Calculate the sample standard deviation, rounded to two decimals.","1. Compute the sample mean of the eight ages.
2. Find the squared deviations from the mean and sum them.
3. Because a sample standard deviation is requested, divide by n-1 rather than n.
4. Take the square root and round to two decimals.
5. Report the result in years.","A clinic survey records ages at first long-term health screening: 22, 24, 25, 27, 28, 30, 31, 34. Calculate the sample standard deviation, rounded to two decimals.

Follow the reasoning stages below:

1. Compute the sample mean of the eight ages.
2. Find the squared deviations from the mean and sum them.
3. Because a sample standard deviation is requested, divide by n-1 rather than n.
4. Take the square root and round to two decimals.
5. Report the result in years.

Show the reasoning or calculations necessary for this specific question, then provide the final answer.",Adaptive Multi-Agent Student–Tutor,Qwen3-32B-Instruct,3
8,Distribution,Healthcare,Medium,Calculation,ch_inference_for_props_50_2,"Coffee and Depression

Researchers conducted a study investigating the relationship between 
caffeinated coffee consumption and risk of depression in women. They 
collected data on 50,739 women free of depression symptoms at the start 
of the study in the year 1996, and these women were followed through 
2006. The researchers used questionnaires to collect data on 
caffeinated coffee consumption, asked each individual about physician-
diagnosed depression, and also asked about the use of antidepressants. 
The table below shows the distribution of incidences of depression by 
amount of caffeinated coffee consumption.[source: Lucas:2011]
adjustwidth-4em-4em

Table:
| 5cCaffeinated coffee consumption | | | | | | | |
| --- | --- | --- | --- | --- | --- | --- | --- |
| $$ 1 | 2-6 | 1 | 2-3 | $$ 4 | | | |
| cup/week | cups/week | cup/day | cups/day | cups/day | Total | | |
| Clinical | Yes | 670 | oiB373 | 905 | 564 | 95 | 2,607 |
| depression | No | 11,545 | 6,244 | 16,329 | 11,726 | 2,288 | 48,132 |
| Total | 12,215 | 6,617 | 17,234 | 12,290 | 2,383 | 50,739 | |

adjustwidth

Write the hypotheses for the test you identified in part (a).","\qt{Coffee and Depression\label{coffee_depression_chisq_indep}} 
Researchers conducted a study investigating the relationship between 
caffeinated coffee consumption and risk of depression in women. They 
collected data on 50,739 women free of depression symptoms at the start 
of the study in the year 1996, and these women were followed through 
2006. The researchers used questionnaires to collect data on 
caffeinated coffee consumption, asked each individual about physician-
diagnosed depression, and also asked about the use of antidepressants. 
The table below shows the distribution of incidences of depression by 
amount of caffeinated coffee consumption.\footfullcite{Lucas:2011}
\begin{adjustwidth}{-4em}{-4em}
{\small
\begin{center}
\begin{tabular}{l  l rrrrrr}
	&  \multicolumn{1}{c}{}		& \multicolumn{5}{c}{\textit{Caffeinated coffee consumption}} \\
\cline{3-7}
	&		& $\le$ 1	& 2-6	& 1	& 2-3	& $\ge$ 4	&   \\
	&		& cup/week	& cups/week	& cup/day	& cups/day	& cups/day	& Total  \\
\cline{2-8}
\textit{Clinical} & Yes	& 670 & \fbox{\textcolor{oiB}{373}}	& 905	& 564	& 95 	& 2,607 \\
\textit{depression}	& No& 11,545	& 6,244	& 16,329	& 11,726	& 2,288 	& 48,132 \\
\cline{2-8}
				& Total	& 12,215	& 6,617 & 17,234	& 12,290	& 2,383 	& 50,739 \\
\cline{2-8}
\end{tabular}
\end{center}
}
\end{adjustwidth}
\begin{parts}
\item What type of test is appropriate for evaluating if there is an 
association between coffee intake and depression?
\item Write the hypotheses for the test you identified in part (a).
\item Calculate the overall proportion of women who do and do not 
suffer from depression.
\item Identify the expected count for the highlighted cell, and 
calculate the contribution of this cell to the test statistic, i.e. 
$(Observed-Expected)^2/Expected$.
\item The test statistic is $\chi^2=20.93$. What is the p-value?
\item What is the conclusion of the hypothesis test?
\item One of the authors of this study was quoted on the NYTimes as 
saying it was ``too early to recommend that women load up on extra 
coffee"" based on just this study.\footfullcite{news:coffeeDepression} 
Do you agree with this statement? Explain your reasoning.
\end{parts}","In a health survey, 84 out of 350 respondents report drinking at least two cups of coffee per day. Calculate the sample proportion.",,0.24,Sample proportion = 84/350 = 0.24.,"In a health survey, 84 out of 350 respondents report drinking at least two cups of coffee per day. Calculate the sample proportion.","1. Identify the number reporting the behavior and the total sample size.
2. Compute the sample proportion as 84/350.
3. State the resulting proportion.","In a health survey, 84 out of 350 respondents report drinking at least two cups of coffee per day. Calculate the sample proportion.

Follow the reasoning stages below:

1. Identify the number reporting the behavior and the total sample size.
2. Compute the sample proportion as 84/350.
3. State the resulting proportion.

Show the reasoning or calculations necessary for this specific question, then provide the final answer.",Adaptive Multi-Agent Student–Tutor,Qwen3-32B-Instruct,3
9,Distribution,Marketing,Medium,Interpretation,ch_distributions_39_3,"Auto insurance premiums

Suppose a 
newspaper article states that the distribution of auto insurance premiums for 
residents of California is approximately normal with a mean of $1,650. The 
article also states that 25% of California residents pay more than $1,800.

Identify the standard deviation of insurance premiums in California.","\qt{Auto insurance premiums\label{auto_insurance_premiums}} Suppose a 
newspaper article states that the distribution of auto insurance premiums for 
residents of California is approximately normal with a mean of \$1,650. The 
article also states that 25\% of California residents pay more than \$1,800. 
\begin{parts}
\item What is the Z-score that corresponds to the top 25\% (or the $75^{th}$ 
percentile) of the standard normal distribution?
\item What is the mean insurance cost? What is the cutoff for the 75th 
percentile?
\item Identify the standard deviation of insurance premiums in California.
\end{parts}","A marketing team finds that monthly subscription spending is right-skewed: most customers spend £8–£20, but a few corporate accounts spend more than £150. Which measure, mean or median, better describes a typical customer? Explain briefly.",,Median,"For a right-skewed distribution, the mean is pulled upward by extreme high values. The median is more resistant, so it better represents a typical customer.","A marketing team finds that monthly subscription spending is right-skewed: most customers spend £8–£20, but a few corporate accounts spend more than £150. Which measure, mean or median, better describes a typical customer? Explain briefly.","1. Identify the direction of skew and the presence of extreme high values.
2. Compare how the mean and median respond to those extreme values.
3. Choose the measure that better represents a typical customer and justify it briefly.","A marketing team finds that monthly subscription spending is right-skewed: most customers spend £8–£20, but a few corporate accounts spend more than £150. Which measure, mean or median, better describes a typical customer? Explain briefly.

Follow the reasoning stages below:

1. Identify the direction of skew and the presence of extreme high values.
2. Compare how the mean and median respond to those extreme values.
3. Choose the measure that better represents a typical customer and justify it briefly.

Show the reasoning or calculations necessary for this specific question, then provide the final answer.",Adaptive Multi-Agent Student–Tutor,Qwen3-32B-Instruct,3
10,Distribution,Marketing,Medium,Interpretation,ch_summarizing_data_30_1,"A new statistic

The statistic $xmedian$ can 
be used as a measure of skewness. Suppose we have a distribution where all 
observations are greater than 0, $x_i > 0$. What is the expected shape of 
the distribution under the following conditions? Explain your reasoning.

$xmedian = 1$","\qt{A new statistic\label{new_stat}} The statistic $\frac{\bar{x}}{median}$ can 
be used as a measure of skewness. Suppose we have a distribution where all 
observations are greater than 0, $x_i > 0$. What is the expected shape of 
the distribution under the following conditions? Explain your reasoning.
\begin{parts}
\item $\frac{\bar{x}}{median} = 1$
\item $\frac{\bar{x}}{median} < 1$
\item $\frac{\bar{x}}{median} > 1$
\end{parts}","A product-rating distribution has median 4.2 stars and mean 3.7 stars. Assuming the difference is driven by the distribution's tail rather than an isolated data error, what shape does this pattern most strongly suggest?",,A left-skewed (negatively skewed) distribution,"The mean is below the median. This pattern is commonly associated with a longer or more influential lower tail pulling the mean downward, so it suggests left skew. Mean < median is a diagnostic clue, not by itself a mathematical guarantee of skewness.","A product-rating distribution has median 4.2 stars and mean 3.7 stars. Assuming the difference is driven by the distribution's tail rather than an isolated data error, what shape does this pattern most strongly suggest?","1. Compare the mean with the median.
2. Recall which direction of tail typically pulls the mean below the median.
3. State the suggested distribution shape while recognizing that mean-median ordering is evidence rather than a mathematical guarantee.","A product-rating distribution has median 4.2 stars and mean 3.7 stars. Assuming the difference is driven by the distribution's tail rather than an isolated data error, what shape does this pattern most strongly suggest?

Follow the reasoning stages below:

1. Compare the mean with the median.
2. Recall which direction of tail typically pulls the mean below the median.
3. State the suggested distribution shape while recognizing that mean-median ordering is evidence rather than a mathematical guarantee.

Show the reasoning or calculations necessary for this specific question, then provide the final answer.",Adaptive Multi-Agent Student–Tutor,Qwen3-32B-Instruct,3
