id,source,chapter,openintro_exercise_no,local_exercise_no,part_no,title,task,context,sub_question,original_text,raw_latex
ch_distributions_35,OpenIntro Statistics,ch_distributions,35,1,,Roulette winnings,probability,"In the game of roulette, a 
wheel is spun and you place bets on where it will stop. One popular bet is 
that it will stop on a red slot; such a bet has an 18/38 chance of winning. 
If it stops on red, you double the money you bet. If not, you lose the money 
you bet. Suppose you play 3 times, each time with a $1 bet. Let Y represent 
the total amount won or lost. Write a probability model for Y.",,"Roulette winnings

In the game of roulette, a 
wheel is spun and you place bets on where it will stop. One popular bet is 
that it will stop on a red slot; such a bet has an 18/38 chance of winning. 
If it stops on red, you double the money you bet. If not, you lose the money 
you bet. Suppose you play 3 times, each time with a $1 bet. Let Y represent 
the total amount won or lost. Write a probability model for Y.","\qt{Roulette winnings\label{roulette_winnings}} In the game of roulette, a 
wheel is spun and you place bets on where it will stop. One popular bet is 
that it will stop on a red slot; such a bet has an 18/38 chance of winning. 
If it stops on red, you double the money you bet. If not, you lose the money 
you bet. Suppose you play 3 times, each time with a \$1 bet. Let Y represent 
the total amount won or lost. Write a probability model for Y."
ch_distributions_36_1,OpenIntro Statistics,ch_distributions,36,2,1,"Speeding on the I-5, Part I",normal_distribution,"The distribution of 
passenger vehicle speeds traveling on the Interstate 5 Freeway (I-5) in 
California is nearly normal with a mean of 72.6 miles/hour and a standard 
deviation of 4.78 miles/hour.[source: Johnson+Murray:2010]",What percent of passenger vehicles travel slower than 80 miles/hour?,"Speeding on the I-5, Part I

The distribution of 
passenger vehicle speeds traveling on the Interstate 5 Freeway (I-5) in 
California is nearly normal with a mean of 72.6 miles/hour and a standard 
deviation of 4.78 miles/hour.[source: Johnson+Murray:2010]

What percent of passenger vehicles travel slower than 80 miles/hour?","\qt{Speeding on the I-5, Part I\label{speeding_i5_intro}} The distribution of 
passenger vehicle speeds traveling on the Interstate 5 Freeway (I-5) in 
California is nearly normal with a mean of 72.6 miles/hour and a standard 
deviation of 4.78 miles/hour.\footfullcite{Johnson+Murray:2010}
\begin{parts}
\item What percent of passenger vehicles travel slower than 80 miles/hour?
\item What percent of passenger vehicles travel between 60 and 80 miles/hour?
\item How fast do the fastest 5\% of passenger vehicles travel?
\item The speed limit on this stretch of the I-5 is 70 miles/hour. 
Approximate what percentage of the passenger vehicles travel above the speed 
limit on this stretch of the I-5.
\end{parts}"
ch_distributions_36_2,OpenIntro Statistics,ch_distributions,36,2,2,"Speeding on the I-5, Part I",normal_distribution,"The distribution of 
passenger vehicle speeds traveling on the Interstate 5 Freeway (I-5) in 
California is nearly normal with a mean of 72.6 miles/hour and a standard 
deviation of 4.78 miles/hour.[source: Johnson+Murray:2010]",What percent of passenger vehicles travel between 60 and 80 miles/hour?,"Speeding on the I-5, Part I

The distribution of 
passenger vehicle speeds traveling on the Interstate 5 Freeway (I-5) in 
California is nearly normal with a mean of 72.6 miles/hour and a standard 
deviation of 4.78 miles/hour.[source: Johnson+Murray:2010]

What percent of passenger vehicles travel between 60 and 80 miles/hour?","\qt{Speeding on the I-5, Part I\label{speeding_i5_intro}} The distribution of 
passenger vehicle speeds traveling on the Interstate 5 Freeway (I-5) in 
California is nearly normal with a mean of 72.6 miles/hour and a standard 
deviation of 4.78 miles/hour.\footfullcite{Johnson+Murray:2010}
\begin{parts}
\item What percent of passenger vehicles travel slower than 80 miles/hour?
\item What percent of passenger vehicles travel between 60 and 80 miles/hour?
\item How fast do the fastest 5\% of passenger vehicles travel?
\item The speed limit on this stretch of the I-5 is 70 miles/hour. 
Approximate what percentage of the passenger vehicles travel above the speed 
limit on this stretch of the I-5.
\end{parts}"
ch_distributions_36_3,OpenIntro Statistics,ch_distributions,36,2,3,"Speeding on the I-5, Part I",normal_distribution,"The distribution of 
passenger vehicle speeds traveling on the Interstate 5 Freeway (I-5) in 
California is nearly normal with a mean of 72.6 miles/hour and a standard 
deviation of 4.78 miles/hour.[source: Johnson+Murray:2010]",How fast do the fastest 5% of passenger vehicles travel?,"Speeding on the I-5, Part I

The distribution of 
passenger vehicle speeds traveling on the Interstate 5 Freeway (I-5) in 
California is nearly normal with a mean of 72.6 miles/hour and a standard 
deviation of 4.78 miles/hour.[source: Johnson+Murray:2010]

How fast do the fastest 5% of passenger vehicles travel?","\qt{Speeding on the I-5, Part I\label{speeding_i5_intro}} The distribution of 
passenger vehicle speeds traveling on the Interstate 5 Freeway (I-5) in 
California is nearly normal with a mean of 72.6 miles/hour and a standard 
deviation of 4.78 miles/hour.\footfullcite{Johnson+Murray:2010}
\begin{parts}
\item What percent of passenger vehicles travel slower than 80 miles/hour?
\item What percent of passenger vehicles travel between 60 and 80 miles/hour?
\item How fast do the fastest 5\% of passenger vehicles travel?
\item The speed limit on this stretch of the I-5 is 70 miles/hour. 
Approximate what percentage of the passenger vehicles travel above the speed 
limit on this stretch of the I-5.
\end{parts}"
ch_distributions_36_4,OpenIntro Statistics,ch_distributions,36,2,4,"Speeding on the I-5, Part I",normal_distribution,"The distribution of 
passenger vehicle speeds traveling on the Interstate 5 Freeway (I-5) in 
California is nearly normal with a mean of 72.6 miles/hour and a standard 
deviation of 4.78 miles/hour.[source: Johnson+Murray:2010]","The speed limit on this stretch of the I-5 is 70 miles/hour. 
Approximate what percentage of the passenger vehicles travel above the speed 
limit on this stretch of the I-5.","Speeding on the I-5, Part I

The distribution of 
passenger vehicle speeds traveling on the Interstate 5 Freeway (I-5) in 
California is nearly normal with a mean of 72.6 miles/hour and a standard 
deviation of 4.78 miles/hour.[source: Johnson+Murray:2010]

The speed limit on this stretch of the I-5 is 70 miles/hour. 
Approximate what percentage of the passenger vehicles travel above the speed 
limit on this stretch of the I-5.","\qt{Speeding on the I-5, Part I\label{speeding_i5_intro}} The distribution of 
passenger vehicle speeds traveling on the Interstate 5 Freeway (I-5) in 
California is nearly normal with a mean of 72.6 miles/hour and a standard 
deviation of 4.78 miles/hour.\footfullcite{Johnson+Murray:2010}
\begin{parts}
\item What percent of passenger vehicles travel slower than 80 miles/hour?
\item What percent of passenger vehicles travel between 60 and 80 miles/hour?
\item How fast do the fastest 5\% of passenger vehicles travel?
\item The speed limit on this stretch of the I-5 is 70 miles/hour. 
Approximate what percentage of the passenger vehicles travel above the speed 
limit on this stretch of the I-5.
\end{parts}"
ch_distributions_37,OpenIntro Statistics,ch_distributions,37,3,,University admissions,probability,"Suppose a university 
announced that it admitted 2,500 students for the following year's freshman 
class. However, the university has dorm room spots for only 1,786 freshman 
students. If there is a 70% chance that an admitted student will decide to 
accept the offer and attend this university, what is the approximate 
probability that the university will not have enough dormitory room spots for 
the freshman class?",,"University admissions

Suppose a university 
announced that it admitted 2,500 students for the following year's freshman 
class. However, the university has dorm room spots for only 1,786 freshman 
students. If there is a 70% chance that an admitted student will decide to 
accept the offer and attend this university, what is the approximate 
probability that the university will not have enough dormitory room spots for 
the freshman class?","\qt{University admissions\label{university_admissions}} Suppose a university 
announced that it admitted 2,500 students for the following year's freshman 
class. However, the university has dorm room spots for only 1,786 freshman 
students. If there is a 70\% chance that an admitted student will decide to 
accept the offer and attend this university, what is the approximate 
probability that the university will not have enough dormitory room spots for 
the freshman class?"
ch_distributions_38_1,OpenIntro Statistics,ch_distributions,38,4,1,"Speeding on the I-5, Part II",probability,"Exercise~[ref: speeding_i5_intro] states that the distribution of speeds of 
cars traveling on the Interstate 5 Freeway (I-5) in California is nearly 
normal with a mean of 72.6 miles/hour and a standard deviation of 4.78 
miles/hour. The speed limit on this stretch of the I-5 is 70 miles/hour.","A highway patrol officer is hidden on the side of the freeway. What is 
the probability that 5~cars pass and none are speeding? Assume that the 
speeds of the cars are independent of each other.","Speeding on the I-5, Part II

Exercise~[ref: speeding_i5_intro] states that the distribution of speeds of 
cars traveling on the Interstate 5 Freeway (I-5) in California is nearly 
normal with a mean of 72.6 miles/hour and a standard deviation of 4.78 
miles/hour. The speed limit on this stretch of the I-5 is 70 miles/hour.

A highway patrol officer is hidden on the side of the freeway. What is 
the probability that 5~cars pass and none are speeding? Assume that the 
speeds of the cars are independent of each other.","\qt{Speeding on the I-5, Part II\label{speeding_i5_geometric}} 
Exercise~\ref{speeding_i5_intro} states that the distribution of speeds of 
cars traveling on the Interstate 5 Freeway (I-5) in California is nearly 
normal with a mean of 72.6 miles/hour and a standard deviation of 4.78 
miles/hour. The speed limit on this stretch of the I-5 is 70 miles/hour.
\begin{parts}
\item A highway patrol officer is hidden on the side of the freeway. What is 
the probability that 5~cars pass and none are speeding? Assume that the 
speeds of the cars are independent of each other.
\item On average, how many cars would the highway patrol officer expect to 
watch until the first car that is speeding? What is the standard deviation of 
the number of cars he would expect to watch?
\end{parts}"
ch_distributions_38_2,OpenIntro Statistics,ch_distributions,38,4,2,"Speeding on the I-5, Part II",distribution,"Exercise~[ref: speeding_i5_intro] states that the distribution of speeds of 
cars traveling on the Interstate 5 Freeway (I-5) in California is nearly 
normal with a mean of 72.6 miles/hour and a standard deviation of 4.78 
miles/hour. The speed limit on this stretch of the I-5 is 70 miles/hour.","On average, how many cars would the highway patrol officer expect to 
watch until the first car that is speeding? What is the standard deviation of 
the number of cars he would expect to watch?","Speeding on the I-5, Part II

Exercise~[ref: speeding_i5_intro] states that the distribution of speeds of 
cars traveling on the Interstate 5 Freeway (I-5) in California is nearly 
normal with a mean of 72.6 miles/hour and a standard deviation of 4.78 
miles/hour. The speed limit on this stretch of the I-5 is 70 miles/hour.

On average, how many cars would the highway patrol officer expect to 
watch until the first car that is speeding? What is the standard deviation of 
the number of cars he would expect to watch?","\qt{Speeding on the I-5, Part II\label{speeding_i5_geometric}} 
Exercise~\ref{speeding_i5_intro} states that the distribution of speeds of 
cars traveling on the Interstate 5 Freeway (I-5) in California is nearly 
normal with a mean of 72.6 miles/hour and a standard deviation of 4.78 
miles/hour. The speed limit on this stretch of the I-5 is 70 miles/hour.
\begin{parts}
\item A highway patrol officer is hidden on the side of the freeway. What is 
the probability that 5~cars pass and none are speeding? Assume that the 
speeds of the cars are independent of each other.
\item On average, how many cars would the highway patrol officer expect to 
watch until the first car that is speeding? What is the standard deviation of 
the number of cars he would expect to watch?
\end{parts}"
ch_distributions_39_1,OpenIntro Statistics,ch_distributions,39,5,1,Auto insurance premiums,normal_distribution,"Suppose a 
newspaper article states that the distribution of auto insurance premiums for 
residents of California is approximately normal with a mean of $1,650. The 
article also states that 25% of California residents pay more than $1,800.","What is the Z-score that corresponds to the top 25% (or the $75^th$ 
percentile) of the standard normal distribution?","Auto insurance premiums

Suppose a 
newspaper article states that the distribution of auto insurance premiums for 
residents of California is approximately normal with a mean of $1,650. The 
article also states that 25% of California residents pay more than $1,800.

What is the Z-score that corresponds to the top 25% (or the $75^th$ 
percentile) of the standard normal distribution?","\qt{Auto insurance premiums\label{auto_insurance_premiums}} Suppose a 
newspaper article states that the distribution of auto insurance premiums for 
residents of California is approximately normal with a mean of \$1,650. The 
article also states that 25\% of California residents pay more than \$1,800. 
\begin{parts}
\item What is the Z-score that corresponds to the top 25\% (or the $75^{th}$ 
percentile) of the standard normal distribution?
\item What is the mean insurance cost? What is the cutoff for the 75th 
percentile?
\item Identify the standard deviation of insurance premiums in California.
\end{parts}"
ch_distributions_39_2,OpenIntro Statistics,ch_distributions,39,5,2,Auto insurance premiums,distribution,"Suppose a 
newspaper article states that the distribution of auto insurance premiums for 
residents of California is approximately normal with a mean of $1,650. The 
article also states that 25% of California residents pay more than $1,800.","What is the mean insurance cost? What is the cutoff for the 75th 
percentile?","Auto insurance premiums

Suppose a 
newspaper article states that the distribution of auto insurance premiums for 
residents of California is approximately normal with a mean of $1,650. The 
article also states that 25% of California residents pay more than $1,800.

What is the mean insurance cost? What is the cutoff for the 75th 
percentile?","\qt{Auto insurance premiums\label{auto_insurance_premiums}} Suppose a 
newspaper article states that the distribution of auto insurance premiums for 
residents of California is approximately normal with a mean of \$1,650. The 
article also states that 25\% of California residents pay more than \$1,800. 
\begin{parts}
\item What is the Z-score that corresponds to the top 25\% (or the $75^{th}$ 
percentile) of the standard normal distribution?
\item What is the mean insurance cost? What is the cutoff for the 75th 
percentile?
\item Identify the standard deviation of insurance premiums in California.
\end{parts}"
