No,Knowledge Area,Scenario,Difficulty,Question Type,Source ID,original_text,raw_latex,Adapted Question,Options,Correct Answer,Solution / Key Steps,prompt_direct,cot_reasoning_scaffold,prompt_cot,student_tutor_strategy,tutor_model,tutor_max_turns
1,Confidence Interval,Healthcare,Medium,Calculation,ch_inference_for_props_44_2,"Acetaminophen and liver damage

It 
is believed that large doses of acetaminophen (the active ingredient in over 
the counter pain relievers like Tylenol) may cause damage to the liver. A 
researcher wants to conduct a study to estimate the proportion of 
acetaminophen users who have liver damage. For participating in this study, 
he will pay each subject $20 and provide a free medical consultation if the 
patient has liver damage.

The amount you calculated in part (a) is substantially over his budget 
so he decides to use fewer subjects. How will this affect the width of his 
confidence interval?","\qt{Acetaminophen and liver damage\label{acetaminophen_CI_sample_size}} It 
is believed that large doses of acetaminophen (the active ingredient in over 
the counter pain relievers like Tylenol) may cause damage to the liver. A 
researcher wants to conduct a study to estimate the proportion of 
acetaminophen users who have liver damage. For participating in this study, 
he will pay each subject \$20 and provide a free medical consultation if the 
patient has liver damage.
\begin{parts}
\item If he wants to limit the margin of error of his 98\% confidence 
interval to 2\%, what is the minimum amount of money he needs to set aside 
to pay his subjects?
\item The amount you calculated in part (a) is substantially over his budget 
so he decides to use fewer subjects. How will this affect the width of his 
confidence interval?
\end{parts}",A clinic records systolic blood pressure for a random sample of 64 adult patients. The sample mean is 128.4 mmHg and the sample standard deviation is 12.8 mmHg. Construct a 95% confidence interval for the population mean systolic blood pressure. Assume the conditions for a one-sample t confidence interval are satisfied.,,125.20 to 131.60 mmHg,"Use a one-sample t interval because the population standard deviation is unknown. SE=12.8/sqrt(64)=1.6, df=63, t*=1.998. CI=128.4±1.998×1.6=125.20 to 131.60 mmHg.",A clinic records systolic blood pressure for a random sample of 64 adult patients. The sample mean is 128.4 mmHg and the sample standard deviation is 12.8 mmHg. Construct a 95% confidence interval for the population mean systolic blood pressure. Assume the conditions for a one-sample t confidence interval are satisfied.,"1. Identify the appropriate confidence-interval framework for a population mean when the population standard deviation is unknown.
2. Compute the standard error from the sample standard deviation and sample size.
3. Determine the appropriate critical value and degrees of freedom for the stated confidence level.
4. Form the margin of error and confidence-interval endpoints, keeping intermediate precision until the final rounding.","A clinic records systolic blood pressure for a random sample of 64 adult patients. The sample mean is 128.4 mmHg and the sample standard deviation is 12.8 mmHg. Construct a 95% confidence interval for the population mean systolic blood pressure. Assume the conditions for a one-sample t confidence interval are satisfied.

Follow the reasoning stages below:

1. Identify the appropriate confidence-interval framework for a population mean when the population standard deviation is unknown.
2. Compute the standard error from the sample standard deviation and sample size.
3. Determine the appropriate critical value and degrees of freedom for the stated confidence level.
4. Form the margin of error and confidence-interval endpoints, keeping intermediate precision until the final rounding.

Show the reasoning or calculations necessary for this specific question, then provide the final answer.",Adaptive Multi-Agent Student–Tutor,Qwen3-32B-Instruct,3
2,Confidence Interval,Healthcare,Medium,Calculation,ch_inference_for_props_48_2,"2010 Healthcare Law

On June 28, 2012 the 
U.S. Supreme Court upheld the much debated 2010 healthcare law, declaring it 
constitutional. A Gallup poll released the day after this decision indicates 
that 46% of 1,012 Americans agree with this decision. At a 95% confidence 
level, this sample has a 3% margin of error. Based on this information, 
determine if the following statements are true or false, and explain your 
reasoning.[source: data:healthcare2010]

We are 95% confident that between 43% and 49% of Americans support 
the decision of the U.S. Supreme Court on the 2010 healthcare law.","\qt{2010 Healthcare Law\label{healthcare_CI_concept}} On June 28, 2012 the 
U.S. Supreme Court upheld the much debated 2010 healthcare law, declaring it 
constitutional. A Gallup poll released the day after this decision indicates 
that 46\% of 1,012 Americans agree with this decision. At a 95\% confidence 
level, this sample has a 3\% margin of error. Based on this information, 
determine if the following statements are true or false, and explain your 
reasoning.\footfullcite{data:healthcare2010}
\begin{parts}
\item We are 95\% confident that between  43\% and 49\% of Americans in this 
sample support the decision of the U.S. Supreme Court on the 2010 healthcare 
law.
\item We are 95\% confident that between 43\% and 49\% of Americans support 
the decision of the U.S. Supreme Court on the 2010 healthcare law.
\item If we considered many random samples of 1,012 Americans, and we 
calculated the sample proportions of those who support the decision of the 
U.S. Supreme Court, 95\% of those sample proportions will be between 43\% and 
49\%.
\item The margin of error at a 90\% confidence level would be higher than 3\%.
\end{parts}","In a random sample of 500 patients, 310 said they could book an appointment within one week. Construct a 95% confidence interval for the true proportion of such patients.",,0.5775 to 0.6625,"p̂=310/500=0.62. SE=sqrt[0.62(0.38)/500]=0.021707. Using z*=1.96, CI=0.62±1.96×0.021707=0.5775 to 0.6625.","In a random sample of 500 patients, 310 said they could book an appointment within one week. Construct a 95% confidence interval for the true proportion of such patients.","1. Compute the sample proportion from the reported count and sample size.
2. Check that a normal approximation for a proportion interval is reasonable.
3. Compute the standard error using the sample proportion.
4. Use the appropriate critical value for the stated confidence level and form the two interval endpoints.","In a random sample of 500 patients, 310 said they could book an appointment within one week. Construct a 95% confidence interval for the true proportion of such patients.

Follow the reasoning stages below:

1. Compute the sample proportion from the reported count and sample size.
2. Check that a normal approximation for a proportion interval is reasonable.
3. Compute the standard error using the sample proportion.
4. Use the appropriate critical value for the stated confidence level and form the two interval endpoints.

Show the reasoning or calculations necessary for this specific question, then provide the final answer.",Adaptive Multi-Agent Student–Tutor,Qwen3-32B-Instruct,3
3,Confidence Interval,Healthcare,Medium,Calculation,ch_inference_for_props_48_4,"2010 Healthcare Law

On June 28, 2012 the 
U.S. Supreme Court upheld the much debated 2010 healthcare law, declaring it 
constitutional. A Gallup poll released the day after this decision indicates 
that 46% of 1,012 Americans agree with this decision. At a 95% confidence 
level, this sample has a 3% margin of error. Based on this information, 
determine if the following statements are true or false, and explain your 
reasoning.[source: data:healthcare2010]

The margin of error at a 90% confidence level would be higher than 3%.","\qt{2010 Healthcare Law\label{healthcare_CI_concept}} On June 28, 2012 the 
U.S. Supreme Court upheld the much debated 2010 healthcare law, declaring it 
constitutional. A Gallup poll released the day after this decision indicates 
that 46\% of 1,012 Americans agree with this decision. At a 95\% confidence 
level, this sample has a 3\% margin of error. Based on this information, 
determine if the following statements are true or false, and explain your 
reasoning.\footfullcite{data:healthcare2010}
\begin{parts}
\item We are 95\% confident that between  43\% and 49\% of Americans in this 
sample support the decision of the U.S. Supreme Court on the 2010 healthcare 
law.
\item We are 95\% confident that between 43\% and 49\% of Americans support 
the decision of the U.S. Supreme Court on the 2010 healthcare law.
\item If we considered many random samples of 1,012 Americans, and we 
calculated the sample proportions of those who support the decision of the 
U.S. Supreme Court, 95\% of those sample proportions will be between 43\% and 
49\%.
\item The margin of error at a 90\% confidence level would be higher than 3\%.
\end{parts}",A hospital estimates the average emergency-department waiting time from a random sample of 49 visits. The sample mean is 42 minutes and the sample standard deviation is 14 minutes. Construct a 90% confidence interval for the population mean. Assume the conditions for a one-sample t confidence interval are satisfied.,,38.65 to 45.35 minutes,"Use a one-sample t interval because the population standard deviation is unknown. SE=14/sqrt(49)=2, df=48, t*=1.677. CI=42±1.677×2=38.65 to 45.35 minutes.",A hospital estimates the average emergency-department waiting time from a random sample of 49 visits. The sample mean is 42 minutes and the sample standard deviation is 14 minutes. Construct a 90% confidence interval for the population mean. Assume the conditions for a one-sample t confidence interval are satisfied.,"1. Determine the appropriate interval for a population mean when only a sample standard deviation is available.
2. Compute the standard error and identify the relevant degrees of freedom.
3. Obtain the critical value corresponding to the stated confidence level.
4. Calculate the margin of error and then the lower and upper confidence limits.","A hospital estimates the average emergency-department waiting time from a random sample of 49 visits. The sample mean is 42 minutes and the sample standard deviation is 14 minutes. Construct a 90% confidence interval for the population mean. Assume the conditions for a one-sample t confidence interval are satisfied.

Follow the reasoning stages below:

1. Determine the appropriate interval for a population mean when only a sample standard deviation is available.
2. Compute the standard error and identify the relevant degrees of freedom.
3. Obtain the critical value corresponding to the stated confidence level.
4. Calculate the margin of error and then the lower and upper confidence limits.

Show the reasoning or calculations necessary for this specific question, then provide the final answer.",Adaptive Multi-Agent Student–Tutor,Qwen3-32B-Instruct,3
4,Confidence Interval,Healthcare,Medium,Calculation,ch_inference_for_props_49_3,"Browsing on the mobile device

A 
survey of 2,254 American adults indicates that 17% of cell phone owners
browse the internet exclusively on their phone rather than a computer
or other device.
[source: data:mobileBrowse]

Calculate a 95% confidence interval for the proportion of Americans 
who access the internet on their cell phones, and interpret the interval in 
this context.","\qt{Browsing on the mobile device\label{mobile_browsing_HT_CI}} A 
survey of 2,254 American adults indicates that 17\% of cell phone owners
browse the internet exclusively on their phone rather than a computer
or other device.
\footfullcite{data:mobileBrowse}
\begin{parts}
\item  According to an online article, a report from a mobile research 
company indicates that 38 percent of Chinese mobile web users only access 
the internet through their cell phones.
\footfullcite{news:mobileBrowseChinese} Conduct a hypothesis test to 
determine if these data provide strong evidence that the proportion of 
Americans who only use their cell phones to access the internet is different 
than the Chinese proportion of 38\%.
\item Interpret the p-value in this context.
\item Calculate a 95\% confidence interval for the proportion of Americans 
who access the internet on their cell phones, and interpret the interval in 
this context.
\end{parts}","In a random sample of 800 adults in a health study, 184 report using a sleep-tracking app. Construct a 95% confidence interval for the population proportion.",,0.2008 to 0.2592,"p̂=184/800=0.23. SE=sqrt[0.23(0.77)/800]=0.014879. Using z*=1.96, CI=0.23±1.96×0.014879=0.2008 to 0.2592.","In a random sample of 800 adults in a health study, 184 report using a sleep-tracking app. Construct a 95% confidence interval for the population proportion.","1. Convert the observed count into a sample proportion.
2. Verify that the usual conditions for a normal-based proportion interval are reasonable.
3. Compute the standard error without prematurely rounding intermediate values.
4. Combine the sample proportion, critical value, and margin of error to obtain the interval.","In a random sample of 800 adults in a health study, 184 report using a sleep-tracking app. Construct a 95% confidence interval for the population proportion.

Follow the reasoning stages below:

1. Convert the observed count into a sample proportion.
2. Verify that the usual conditions for a normal-based proportion interval are reasonable.
3. Compute the standard error without prematurely rounding intermediate values.
4. Combine the sample proportion, critical value, and margin of error to obtain the interval.

Show the reasoning or calculations necessary for this specific question, then provide the final answer.",Adaptive Multi-Agent Student–Tutor,Qwen3-32B-Instruct,3
5,Confidence Interval,Healthcare,Medium,Calculation,ch_inference_for_means_53_2,"Experiment resizing

At a startup company running a new weather app, an engineering
team generally runs experiments where a random sample of 1%
of the app's visitors in the control group and another
1% were in the treatment group to test each new feature.
The team's core goal is to increase a metric
called daily visitors,
which is essentially the number of visitors to the app
each day.
They track this metric in each experiment arm and
as their core experiment metric.
In their most recent experiment, the team tested
including a new animation when the app started,
and the number of daily visitors in this experiment
stabilized at +1.2% with a 95% confidence interval
of (-0.2%, +2.6%).
This means if this new app start animation was launched,
the team thinks they might lose as many as 0.2% of daily
visitors or gain as many as 2.6% more daily visitors.
Suppose you are consulting as the team's data scientist,
and after discussing with the team,
you and they agree that they should run
another experiment that is bigger.
You also agree that this new experiment
should be able to detect a gain in the daily visitors
metric of 1.0% or more with 80% power.
Now they turn to you and ask,
``How big of an experiment do we need to run
to ensure we can detect this effect?''

Consider the first experiment, where
 the point estimate was +1.2% and the
 95% confidence interval was (-0.2%, +2.6%).
 If that point estimate followed a normal
 distribution, what was the standard error
 of the estimate?","\qt{Experiment resizing\label{tech_exp_resizing}}
At a startup company running a new weather app, an engineering
team generally runs experiments where a random sample of 1\%
of the app's visitors in the control group and another
1\% were in the treatment group to test each new feature.
The team's core goal is to increase a metric
called \emph{daily visitors},
which is essentially the number of visitors to the app
each day.
They track this metric in each experiment arm and
as their core experiment metric.
In their most recent experiment, the team tested
including a new animation when the app started,
and the number of daily visitors in this experiment
stabilized at +1.2\% with a 95\% confidence interval
of (-0.2\%, +2.6\%).
This means if this new app start animation was launched,
the team thinks they might lose as many as 0.2\% of daily
visitors or gain as many as 2.6\% more daily visitors.
Suppose you are consulting as the team's data scientist,
and after discussing with the team,
you and they agree that they should run
another experiment that is bigger.
You also agree that this new experiment
should be able to detect a gain in the daily visitors
metric of 1.0\% or more with 80\% power.
Now they turn to you and ask,
``How big of an experiment do we need to run
to ensure we can detect this effect?''
\begin{parts}
\item\label{tech_exp_resizing_target_se}
    How small must the standard error be if
    the team is to be able to detect an effect
    of 1.0\% with 80\% power and a significance
    level of $\alpha = 0.05$?
    You may safely assume the percent change in
    daily visitors metric follows a normal distribution.
\item\label{tech_exp_resizing_original_se}
    Consider the first experiment, where
    the point estimate was +1.2\% and the
    95\% confidence interval was (-0.2\%, +2.6\%).
    If that point estimate followed a normal
    distribution, what was the standard error
    of the estimate?
\item\label{tech_exp_resizing_ratio}
    The ratio of the standard error from
    part~(\ref{tech_exp_resizing_target_se})
    vs the standard error from
    part~(\ref{tech_exp_resizing_original_se})
    should be~1.97.
    How much bigger of an experiment is needed
    to shrink a standard error by a factor of~1.97?
\item
    Using your answer from
    part~(\ref{tech_exp_resizing_ratio})
    and that the original experiment was
    a 1\% vs 1\% experiment to recommend
    an experiment size to the team.
\end{parts}",A random sample of 36 patients has a mean recovery time of 8.6 days with a sample standard deviation of 2.4 days. Construct a 95% confidence interval for the population mean recovery time. Assume the conditions for a one-sample t confidence interval are satisfied.,,7.79 to 9.41 days,"Use a one-sample t interval because the population standard deviation is unknown. SE=2.4/sqrt(36)=0.4, df=35, t*=2.030. CI=8.6±2.030×0.4=7.79 to 9.41 days.",A random sample of 36 patients has a mean recovery time of 8.6 days with a sample standard deviation of 2.4 days. Construct a 95% confidence interval for the population mean recovery time. Assume the conditions for a one-sample t confidence interval are satisfied.,"1. Decide which confidence-interval distribution is appropriate because the population standard deviation is not given.
2. Compute the standard error of the sample mean.
3. Use the sample size to determine the degrees of freedom and corresponding critical value.
4. Construct and report the confidence interval from the point estimate and margin of error.","A random sample of 36 patients has a mean recovery time of 8.6 days with a sample standard deviation of 2.4 days. Construct a 95% confidence interval for the population mean recovery time. Assume the conditions for a one-sample t confidence interval are satisfied.

Follow the reasoning stages below:

1. Decide which confidence-interval distribution is appropriate because the population standard deviation is not given.
2. Compute the standard error of the sample mean.
3. Use the sample size to determine the degrees of freedom and corresponding critical value.
4. Construct and report the confidence interval from the point estimate and margin of error.

Show the reasoning or calculations necessary for this specific question, then provide the final answer.",Adaptive Multi-Agent Student–Tutor,Qwen3-32B-Instruct,3
6,Confidence Interval,Healthcare,Medium,Calculation,ch_inference_for_props_45_2,"Life after college

We are interested in 
estimating the proportion of graduates at a mid-sized university who found 
a job within one year of completing their undergraduate degree. Suppose we 
conduct a survey and find out that 348 of the 400 randomly sampled graduates 
found jobs. The graduating class under consideration included over 4500 students.

Check if the conditions for constructing a confidence interval based 
on these data are met.","\qt{Life after college\label{life_after_college_CI}} We are interested in 
estimating the proportion of graduates at a mid-sized university who found 
a job within one year of completing their undergraduate degree. Suppose we 
conduct a survey and find out that 348 of the 400 randomly sampled graduates 
found jobs. The graduating class under consideration included over 4500 students.
\begin{parts}
\item Describe the population parameter of interest. What is the value of 
the point estimate of this parameter?
\item Check if the conditions for constructing a confidence interval based 
on these data are met.
\item Calculate a 95\% confidence interval for the proportion of graduates 
who found a job within one year of completing their undergraduate degree at 
this university, and interpret it in the context of the data.
\item What does ``95\% confidence"" mean?
\item Now calculate a 99\% confidence interval for the same parameter and 
interpret it in the context of the data.
\item Compare the widths of the 95\% and 99\% confidence intervals. Which 
one is wider? Explain.
\end{parts}","In a random sample of 250 pharmacy customers, 72 say they prefer generic medicine when available. Construct a 90% confidence interval for the true proportion.",,0.2409 to 0.3351,"p̂=72/250=0.288. SE=sqrt[0.288(0.712)/250]=0.028640. Using z*=1.645, CI=0.288±1.645×0.028640=0.2409 to 0.3351.","In a random sample of 250 pharmacy customers, 72 say they prefer generic medicine when available. Construct a 90% confidence interval for the true proportion.","1. Compute the observed sample proportion.
2. Check whether the sample provides enough successes and failures for a normal approximation.
3. Calculate the standard error of the sample proportion using full intermediate precision.
4. Use the critical value for the requested confidence level to calculate both confidence limits.","In a random sample of 250 pharmacy customers, 72 say they prefer generic medicine when available. Construct a 90% confidence interval for the true proportion.

Follow the reasoning stages below:

1. Compute the observed sample proportion.
2. Check whether the sample provides enough successes and failures for a normal approximation.
3. Calculate the standard error of the sample proportion using full intermediate precision.
4. Use the critical value for the requested confidence level to calculate both confidence limits.

Show the reasoning or calculations necessary for this specific question, then provide the final answer.",Adaptive Multi-Agent Student–Tutor,Qwen3-32B-Instruct,3
7,Confidence Interval,Education,Medium,Interpretation,ch_foundations_for_inf_33,"Nutrition labels

The nutrition label on a bag of potato chips says
that a one ounce (28~gram) serving of potato chips
has 130 calories and contains ten grams of fat,
with three grams of saturated fat.
A~random sample of 35 bags yielded
a confidence interval for the number of calories
per bag of 128.2 to 139.8 calories.
Is there evidence that the nutrition label does not 
provide an accurate measure of calories in the bags
of potato chips?","\qt{Nutrition labels\label{nutrition_labels}}
The nutrition label on a bag of potato chips says
that a one ounce (28~gram) serving of potato chips
has 130 calories and contains ten grams of fat,
with three grams of saturated fat.
A~random sample of 35 bags yielded
a confidence interval for the number of calories
per bag of 128.2 to 139.8 calories.
Is there evidence that the nutrition label does not 
provide an accurate measure of calories in the bags
of potato chips?",A university reports a 95% confidence interval of 3.1 to 3.7 hours for the mean daily independent study time of its students. Interpret this interval in context.,,We are 95% confident that the true mean daily independent study time for all students at the university is between 3.1 and 3.7 hours.,"A confidence interval gives a plausible range for the population mean, not a statement about individual students.",A university reports a 95% confidence interval of 3.1 to 3.7 hours for the mean daily independent study time of its students. Interpret this interval in context.,"1. Identify the population parameter estimated by the interval.
2. State what the confidence level says about the interval-estimation procedure.
3. Interpret the reported endpoints in the context of mean daily study time.
4. Avoid interpreting the interval as a range that must contain individual students' study times.","A university reports a 95% confidence interval of 3.1 to 3.7 hours for the mean daily independent study time of its students. Interpret this interval in context.

Follow the reasoning stages below:

1. Identify the population parameter estimated by the interval.
2. State what the confidence level says about the interval-estimation procedure.
3. Interpret the reported endpoints in the context of mean daily study time.
4. Avoid interpreting the interval as a range that must contain individual students' study times.

Show the reasoning or calculations necessary for this specific question, then provide the final answer.",Adaptive Multi-Agent Student–Tutor,Qwen3-32B-Instruct,3
8,Confidence Interval,Education,Medium,Interpretation,ch_inference_for_props_43_2,"College smokers

We are interested 
in estimating the proportion of students at a university who smoke. Out of a 
random sample of 200 students from this university, 40 students smoke.

If we wanted the margin of error to be no larger than 2% at a 95% 
confidence level for the proportion of students who smoke, how big of a 
sample would we need?","\qt{College smokers\label{college_smokers_CI_sample_size}} We are interested 
in estimating the proportion of students at a university who smoke. Out of a 
random sample of 200 students from this university, 40 students smoke.
\begin{parts}
\item Calculate a 95\% confidence interval for the proportion of students at 
this university who smoke, and interpret this interval in context. 
(Reminder: Check conditions.)
\item If we wanted the margin of error to be no larger than 2\% at a 95\% 
confidence level for the proportion of students who smoke, how big of a 
sample would we need? 
\end{parts}",A 99% confidence interval for the proportion of students who support longer library hours is 0.58 to 0.72. What does the higher confidence level imply compared with a 95% interval based on the same data?,,The 99% interval would be wider because it uses a larger critical value to achieve greater confidence.,"Higher confidence requires covering more possible parameter values, so the interval becomes wider if the sample data are unchanged.",A 99% confidence interval for the proportion of students who support longer library hours is 0.58 to 0.72. What does the higher confidence level imply compared with a 95% interval based on the same data?,"1. Hold the sample data fixed and identify what changes when the confidence level rises.
2. Relate the confidence level to the size of the critical value.
3. Relate the critical value to the margin of error.
4. State the resulting effect on interval width and explain why.","A 99% confidence interval for the proportion of students who support longer library hours is 0.58 to 0.72. What does the higher confidence level imply compared with a 95% interval based on the same data?

Follow the reasoning stages below:

1. Hold the sample data fixed and identify what changes when the confidence level rises.
2. Relate the confidence level to the size of the critical value.
3. Relate the critical value to the margin of error.
4. State the resulting effect on interval width and explain why.

Show the reasoning or calculations necessary for this specific question, then provide the final answer.",Adaptive Multi-Agent Student–Tutor,Qwen3-32B-Instruct,3
9,Confidence Interval,Education,Medium,Interpretation,ch_inference_for_props_45_3,"Life after college

We are interested in 
estimating the proportion of graduates at a mid-sized university who found 
a job within one year of completing their undergraduate degree. Suppose we 
conduct a survey and find out that 348 of the 400 randomly sampled graduates 
found jobs. The graduating class under consideration included over 4500 students.

Calculate a 95% confidence interval for the proportion of graduates 
who found a job within one year of completing their undergraduate degree at 
this university, and interpret it in the context of the data.","\qt{Life after college\label{life_after_college_CI}} We are interested in 
estimating the proportion of graduates at a mid-sized university who found 
a job within one year of completing their undergraduate degree. Suppose we 
conduct a survey and find out that 348 of the 400 randomly sampled graduates 
found jobs. The graduating class under consideration included over 4500 students.
\begin{parts}
\item Describe the population parameter of interest. What is the value of 
the point estimate of this parameter?
\item Check if the conditions for constructing a confidence interval based 
on these data are met.
\item Calculate a 95\% confidence interval for the proportion of graduates 
who found a job within one year of completing their undergraduate degree at 
this university, and interpret it in the context of the data.
\item What does ``95\% confidence"" mean?
\item Now calculate a 99\% confidence interval for the same parameter and 
interpret it in the context of the data.
\item Compare the widths of the 95\% and 99\% confidence intervals. Which 
one is wider? Explain.
\end{parts}",A school estimates the average score improvement after tutoring as a 95% confidence interval of -1.5 to 6.8 points. Explain whether this provides clear evidence of improvement.,,"Not clearly. Since the interval includes 0, the true mean improvement could be zero or even slightly negative.","For a mean difference, 0 represents no improvement. An interval containing 0 is not strong evidence of a positive effect.",A school estimates the average score improvement after tutoring as a 95% confidence interval of -1.5 to 6.8 points. Explain whether this provides clear evidence of improvement.,"1. Identify 0 as the benchmark corresponding to no mean improvement.
2. Compare this benchmark with the reported confidence interval.
3. Determine whether the interval rules out no improvement or a negative effect.
4. State an appropriately cautious conclusion about evidence of improvement.","A school estimates the average score improvement after tutoring as a 95% confidence interval of -1.5 to 6.8 points. Explain whether this provides clear evidence of improvement.

Follow the reasoning stages below:

1. Identify 0 as the benchmark corresponding to no mean improvement.
2. Compare this benchmark with the reported confidence interval.
3. Determine whether the interval rules out no improvement or a negative effect.
4. State an appropriately cautious conclusion about evidence of improvement.

Show the reasoning or calculations necessary for this specific question, then provide the final answer.",Adaptive Multi-Agent Student–Tutor,Qwen3-32B-Instruct,3
10,Confidence Interval,Education,Medium,Interpretation,ch_inference_for_means_52,"Forest management

Forest rangers wanted to better understand the rate
of growth for younger trees in the park.
They took measurements of a random sample of 50 young trees
in 2009 and again measured those same trees in 2019.
The data below summarize their measurements,
where the heights are in feet:

Table:
| 2009 | 2019 | Differences | |
| --- | --- | --- | --- |
| $x$ | 12.0 | 24.5 | 12.5 |
| $s$ | 3.5 | 9.5 | 7.2 |
| $n$ | 50 | 50 | 50 |

Construct a 99% confidence interval for the
average growth of (what had been) younger trees
in the park over 2009-2019.","\qt{Forest management\label{forest_mgmt_tree_growth}}
Forest rangers wanted to better understand the rate
of growth for younger trees in the park.
They took measurements of a random sample of 50 young trees
in 2009 and again measured those same trees in 2019.
The data below summarize their measurements,
where the heights are in feet:
\begin{center}
\begin{tabular}{l c c c}
\hline
          & 2009   & 2019  & Differences\\
\hline  
$\bar{x}$ & 12.0  & 24.5  & 12.5 \\
$s$       & 3.5   & 9.5   & 7.2 \\
$n$       & 50    & 50    & 50 \\
\hline
\end{tabular}
\end{center}
Construct a 99\% confidence interval for the
average growth of (what had been) younger trees
in the park over 2009-2019.",A 95% confidence interval for the proportion of students who use campus buses is 0.41 to 0.49. Explain whether the statement “95% of students have probabilities between 0.41 and 0.49” is correct.,,"No. The interval estimates the population proportion, not individual probabilities.",The correct interpretation is that we are 95% confident the true population proportion lies between 0.41 and 0.49.,A 95% confidence interval for the proportion of students who use campus buses is 0.41 to 0.49. Explain whether the statement “95% of students have probabilities between 0.41 and 0.49” is correct.,"1. Identify the parameter estimated by a confidence interval for a population proportion.
2. Distinguish a population proportion from individual students or individual-level probabilities.
3. Explain what the 95% confidence level refers to in repeated sampling.
4. Correct the proposed interpretation in the context of campus-bus use.","A 95% confidence interval for the proportion of students who use campus buses is 0.41 to 0.49. Explain whether the statement “95% of students have probabilities between 0.41 and 0.49” is correct.

Follow the reasoning stages below:

1. Identify the parameter estimated by a confidence interval for a population proportion.
2. Distinguish a population proportion from individual students or individual-level probabilities.
3. Explain what the 95% confidence level refers to in repeated sampling.
4. Correct the proposed interpretation in the context of campus-bus use.

Show the reasoning or calculations necessary for this specific question, then provide the final answer.",Adaptive Multi-Agent Student–Tutor,Qwen3-32B-Instruct,3
